Identifiant;Composant;Nom;Matériau;Qté;Fonction;Type;Section;Longueur (mm);Masse (kg);Mobile;Sous-ensemble soudé;Statut;Dans BOM
02-MON-AR;02_SECONDARY_STRUCTURE;Montant arrière intermédiaire;S235JR galvanisé à chaud;1;Raidisseur panneau arrière;profilé;Tube carré 40×40×3;1434;4.998;;A — caisse mécano-soudée;;oui
02-LIS-AR-1;02_SECONDARY_STRUCTURE;Lisse arrière;S235JR galvanisé à chaud;1;Raidisseur panneau arrière;profilé;Tube carré 40×40×3;1038;3.618;;A — caisse mécano-soudée;;oui
02-LIS-AR-2;02_SECONDARY_STRUCTURE;Lisse arrière;S235JR galvanisé à chaud;1;Raidisseur panneau arrière;profilé;Tube carré 40×40×3;1038;3.618;;A — caisse mécano-soudée;;oui
02-TT-1;02_SECONDARY_STRUCTURE;Traverse de toit;S235JR galvanisé à chaud;1;Raidisseur de toit;profilé;Tube carré 40×40×3;1016;3.541;;A — caisse mécano-soudée;;oui
02-TT-2;02_SECONDARY_STRUCTURE;Traverse de toit;S235JR galvanisé à chaud;1;Raidisseur de toit;profilé;Tube carré 40×40×3;1016;3.541;;A — caisse mécano-soudée;;oui
02-GOU-ATT-G;02_SECONDARY_STRUCTURE;Gousset de reprise d'attelage;S235JR galvanisé à chaud;1;Transfert de l'effort de traction du longeron AR vers la traverse centrale;plat;Gousset 100×100×5;;0.196;;A — caisse mécano-soudée;;oui
02-GOU-ATT-D;02_SECONDARY_STRUCTURE;Gousset de reprise d'attelage;S235JR galvanisé à chaud;1;Transfert de l'effort de traction du longeron AR vers la traverse centrale;plat;Gousset 100×100×5;;0.196;;A — caisse mécano-soudée;;oui
03-PLA;03_FLOOR;Plancher;S235JR galvanisé à chaud;1;Plancher structurel, reprise charge utile;tôle;Tôle ép. 4;;75.273;;A — caisse mécano-soudée;PROVISOIRE (ép. 4, larmée à valider);oui
04-TOI;04_ROOF;Tôle de toit;S235JR galvanisé à chaud;1;Couverture, étanchéité;tôle;Tôle ép. 2;;37.530;;A — caisse mécano-soudée;PROVISOIRE (ép.);oui
05-PAN-G;05_SIDE_PANELS;Panneau latéral gauche;S235JR galvanisé à chaud;1;Paroi latérale (face 1100) porteuse de la barre de manutention;tôle;Tôle ép. 2;;25.847;;A — caisse mécano-soudée;PROVISOIRE (ép.);oui
05-PAN-D;05_SIDE_PANELS;Panneau latéral droit;S235JR galvanisé à chaud;1;Paroi latérale (face 1100) porteuse de la barre de manutention;tôle;Tôle ép. 2;;25.847;;A — caisse mécano-soudée;PROVISOIRE (ép.);oui
06-PAN-AR;06_REAR_PANEL;Panneau arrière;S235JR galvanisé à chaud;1;Paroi arrière (face attelage);tôle;Tôle ép. 2;;51.647;;A — caisse mécano-soudée;PROVISOIRE (ép.);oui
07-VG-1;07_FRONT_DOORS;Vantail G — Tôle de parement;S235JR galvanisé à chaud;1;Vantail de porte avant (face 2200);tôle;Tôle ép. 2;;23.458;DOOR_L;B — vantail mécano-soudé gauche;;oui
07-VG-2;07_FRONT_DOORS;Vantail G — Montant côté charnières;S235JR galvanisé à chaud;1;Vantail de porte avant (face 2200);profilé;Tube carré 40×40×3;1423;4.960;DOOR_L;B — vantail mécano-soudé gauche;;oui
07-VG-3;07_FRONT_DOORS;Vantail G — Montant côté battement;S235JR galvanisé à chaud;1;Vantail de porte avant (face 2200);profilé;Tube carré 40×40×3;1423;4.960;DOOR_L;B — vantail mécano-soudé gauche;;oui
07-VG-4;07_FRONT_DOORS;Vantail G — Traverse basse;S235JR galvanisé à chaud;1;Vantail de porte avant (face 2200);profilé;Tube carré 40×40×3;970;3.381;DOOR_L;B — vantail mécano-soudé gauche;;oui
07-VG-5;07_FRONT_DOORS;Vantail G — Traverse haute;S235JR galvanisé à chaud;1;Vantail de porte avant (face 2200);profilé;Tube carré 40×40×3;970;3.381;DOOR_L;B — vantail mécano-soudé gauche;;oui
07-VG-6;07_FRONT_DOORS;Vantail G — Traverse intermédiaire;S235JR galvanisé à chaud;1;Vantail de porte avant (face 2200);profilé;Tube carré 40×40×3;970;3.381;DOOR_L;B — vantail mécano-soudé gauche;;oui
08-CHG1-F;08_DOOR_HINGES;Charnière — nœud fixe + patte;S235JR galvanisé à chaud;1;Articulation de vantail, partie dormante soudée au montant;pièce découpée;Nœud Ø30 + patte 20;;0.278;;A — caisse mécano-soudée;;oui
08-CHG1-M;08_DOOR_HINGES;Charnière — nœud mobile + penture;S235JR galvanisé à chaud;1;Articulation de vantail, partie ouvrante soudée au vantail;pièce découpée;Nœud Ø30 + penture 6;;0.561;DOOR_L;B — vantail mécano-soudé gauche;;oui
08-AXG1;08_DOOR_HINGES;Axe de charnière Ø16;Acier inox A2 (PROVISOIRE);1;Axe d'articulation démontable;quincaillerie;Ø16 × 118;118;0.197;;;PROVISOIRE (matière);oui
08-CHG2-F;08_DOOR_HINGES;Charnière — nœud fixe + patte;S235JR galvanisé à chaud;1;Articulation de vantail, partie dormante soudée au montant;pièce découpée;Nœud Ø30 + patte 20;;0.278;;A — caisse mécano-soudée;;oui
08-CHG2-M;08_DOOR_HINGES;Charnière — nœud mobile + penture;S235JR galvanisé à chaud;1;Articulation de vantail, partie ouvrante soudée au vantail;pièce découpée;Nœud Ø30 + penture 6;;0.561;DOOR_L;B — vantail mécano-soudé gauche;;oui
08-AXG2;08_DOOR_HINGES;Axe de charnière Ø16;Acier inox A2 (PROVISOIRE);1;Axe d'articulation démontable;quincaillerie;Ø16 × 118;118;0.197;;;PROVISOIRE (matière);oui
08-CHG3-F;08_DOOR_HINGES;Charnière — nœud fixe + patte;S235JR galvanisé à chaud;1;Articulation de vantail, partie dormante soudée au montant;pièce découpée;Nœud Ø30 + patte 20;;0.278;;A — caisse mécano-soudée;;oui
08-CHG3-M;08_DOOR_HINGES;Charnière — nœud mobile + penture;S235JR galvanisé à chaud;1;Articulation de vantail, partie ouvrante soudée au vantail;pièce découpée;Nœud Ø30 + penture 6;;0.561;DOOR_L;B — vantail mécano-soudé gauche;;oui
08-AXG3;08_DOOR_HINGES;Axe de charnière Ø16;Acier inox A2 (PROVISOIRE);1;Axe d'articulation démontable;quincaillerie;Ø16 × 118;118;0.197;;;PROVISOIRE (matière);oui
08-BUTG;08_DOOR_HINGES;Butée d'ouverture 90°;S235JR galvanisé à chaud;1;Butée mécanique positive à 90° (tampon élastomère à ajouter);pièce découpée;Plat 40 découpé;;0.545;;A — caisse mécano-soudée;;oui
07-VD-1;07_FRONT_DOORS;Vantail D — Tôle de parement;S235JR galvanisé à chaud;1;Vantail de porte avant (face 2200);tôle;Tôle ép. 2;;23.458;DOOR_R;B — vantail mécano-soudé droit;;oui
07-VD-2;07_FRONT_DOORS;Vantail D — Montant côté charnières;S235JR galvanisé à chaud;1;Vantail de porte avant (face 2200);profilé;Tube carré 40×40×3;1423;4.960;DOOR_R;B — vantail mécano-soudé droit;;oui
07-VD-3;07_FRONT_DOORS;Vantail D — Montant côté battement;S235JR galvanisé à chaud;1;Vantail de porte avant (face 2200);profilé;Tube carré 40×40×3;1423;4.960;DOOR_R;B — vantail mécano-soudé droit;;oui
07-VD-4;07_FRONT_DOORS;Vantail D — Traverse basse;S235JR galvanisé à chaud;1;Vantail de porte avant (face 2200);profilé;Tube carré 40×40×3;970;3.381;DOOR_R;B — vantail mécano-soudé droit;;oui
07-VD-5;07_FRONT_DOORS;Vantail D — Traverse haute;S235JR galvanisé à chaud;1;Vantail de porte avant (face 2200);profilé;Tube carré 40×40×3;970;3.381;DOOR_R;B — vantail mécano-soudé droit;;oui
07-VD-6;07_FRONT_DOORS;Vantail D — Traverse intermédiaire;S235JR galvanisé à chaud;1;Vantail de porte avant (face 2200);profilé;Tube carré 40×40×3;970;3.381;DOOR_R;B — vantail mécano-soudé droit;;oui
08-CHD1-F;08_DOOR_HINGES;Charnière — nœud fixe + patte;S235JR galvanisé à chaud;1;Articulation de vantail, partie dormante soudée au montant;pièce découpée;Nœud Ø30 + patte 20;;0.278;;A — caisse mécano-soudée;;oui
08-CHD1-M;08_DOOR_HINGES;Charnière — nœud mobile + penture;S235JR galvanisé à chaud;1;Articulation de vantail, partie ouvrante soudée au vantail;pièce découpée;Nœud Ø30 + penture 6;;0.561;DOOR_R;B — vantail mécano-soudé droit;;oui
08-AXD1;08_DOOR_HINGES;Axe de charnière Ø16;Acier inox A2 (PROVISOIRE);1;Axe d'articulation démontable;quincaillerie;Ø16 × 118;118;0.197;;;PROVISOIRE (matière);oui
08-CHD2-F;08_DOOR_HINGES;Charnière — nœud fixe + patte;S235JR galvanisé à chaud;1;Articulation de vantail, partie dormante soudée au montant;pièce découpée;Nœud Ø30 + patte 20;;0.278;;A — caisse mécano-soudée;;oui
08-CHD2-M;08_DOOR_HINGES;Charnière — nœud mobile + penture;S235JR galvanisé à chaud;1;Articulation de vantail, partie ouvrante soudée au vantail;pièce découpée;Nœud Ø30 + penture 6;;0.561;DOOR_R;B — vantail mécano-soudé droit;;oui
08-AXD2;08_DOOR_HINGES;Axe de charnière Ø16;Acier inox A2 (PROVISOIRE);1;Axe d'articulation démontable;quincaillerie;Ø16 × 118;118;0.197;;;PROVISOIRE (matière);oui
08-CHD3-F;08_DOOR_HINGES;Charnière — nœud fixe + patte;S235JR galvanisé à chaud;1;Articulation de vantail, partie dormante soudée au montant;pièce découpée;Nœud Ø30 + patte 20;;0.278;;A — caisse mécano-soudée;;oui
08-CHD3-M;08_DOOR_HINGES;Charnière — nœud mobile + penture;S235JR galvanisé à chaud;1;Articulation de vantail, partie ouvrante soudée au vantail;pièce découpée;Nœud Ø30 + penture 6;;0.561;DOOR_R;B — vantail mécano-soudé droit;;oui
08-AXD3;08_DOOR_HINGES;Axe de charnière Ø16;Acier inox A2 (PROVISOIRE);1;Axe d'articulation démontable;quincaillerie;Ø16 × 118;118;0.197;;;PROVISOIRE (matière);oui
08-BUTD;08_DOOR_HINGES;Butée d'ouverture 90°;S235JR galvanisé à chaud;1;Butée mécanique positive à 90° (tampon élastomère à ajouter);pièce découpée;Plat 40 découpé;;0.545;;A — caisse mécano-soudée;;oui
09-TRH-G;09_LOCKING_SYSTEM;Tringle haute Ø14;S235JR galvanisé à chaud;1;Verrouillage haut dans gâche;profilé;Rond Ø14;676;0.817;DOOR_L;;;oui
09-TRB-G;09_LOCKING_SYSTEM;Tringle basse Ø14;S235JR galvanisé à chaud;1;Verrouillage bas dans gâche;profilé;Rond Ø14;652;0.787;DOOR_L;;;oui
09-GUI-G1;09_LOCKING_SYSTEM;Guide de tringle;S235JR galvanisé à chaud;1;Guidage de tringle;pièce découpée;Bloc 30×24 percé Ø15.5;;0.083;DOOR_L;B — vantail mécano-soudé gauche;;oui
09-GUI-G2;09_LOCKING_SYSTEM;Guide de tringle;S235JR galvanisé à chaud;1;Guidage de tringle;pièce découpée;Bloc 30×24 percé Ø15.5;;0.083;DOOR_L;B — vantail mécano-soudé gauche;;oui
09-GUI-G3;09_LOCKING_SYSTEM;Guide de tringle;S235JR galvanisé à chaud;1;Guidage de tringle;pièce découpée;Bloc 30×24 percé Ø15.5;;0.083;DOOR_L;B — vantail mécano-soudé gauche;;oui
09-GUI-G4;09_LOCKING_SYSTEM;Guide de tringle;S235JR galvanisé à chaud;1;Guidage de tringle;pièce découpée;Bloc 30×24 percé Ø15.5;;0.083;DOOR_L;B — vantail mécano-soudé gauche;;oui
09-GAH-G;09_LOCKING_SYSTEM;Gâche haute renforcée;S235JR galvanisé à chaud;1;Réception tringle haute;pièce découpée;Bloc 24 percé Ø16;;0.088;;A — caisse mécano-soudée;;oui
09-GAB-G;09_LOCKING_SYSTEM;Gâche basse renforcée;S235JR galvanisé à chaud;1;Réception tringle basse;pièce découpée;Bloc 24 percé Ø16;;0.063;;A — caisse mécano-soudée;;oui
09-TRH-D;09_LOCKING_SYSTEM;Tringle haute Ø14;S235JR galvanisé à chaud;1;Verrouillage haut dans gâche;profilé;Rond Ø14;598;0.723;DOOR_R;;;oui
09-TRB-D;09_LOCKING_SYSTEM;Tringle basse Ø14;S235JR galvanisé à chaud;1;Verrouillage bas dans gâche;profilé;Rond Ø14;670;0.810;DOOR_R;;;oui
09-GUI-D1;09_LOCKING_SYSTEM;Guide de tringle;S235JR galvanisé à chaud;1;Guidage de tringle;pièce découpée;Bloc 30×24 percé Ø15.5;;0.083;DOOR_R;B — vantail mécano-soudé droit;;oui
09-GUI-D2;09_LOCKING_SYSTEM;Guide de tringle;S235JR galvanisé à chaud;1;Guidage de tringle;pièce découpée;Bloc 30×24 percé Ø15.5;;0.083;DOOR_R;B — vantail mécano-soudé droit;;oui
09-GUI-D3;09_LOCKING_SYSTEM;Guide de tringle;S235JR galvanisé à chaud;1;Guidage de tringle;pièce découpée;Bloc 30×24 percé Ø15.5;;0.083;DOOR_R;B — vantail mécano-soudé droit;;oui
09-GUI-D4;09_LOCKING_SYSTEM;Guide de tringle;S235JR galvanisé à chaud;1;Guidage de tringle;pièce découpée;Bloc 30×24 percé Ø15.5;;0.083;DOOR_R;B — vantail mécano-soudé droit;;oui
09-GAH-D;09_LOCKING_SYSTEM;Gâche haute renforcée;S235JR galvanisé à chaud;1;Réception tringle haute;pièce découpée;Bloc 24 percé Ø16;;0.088;;A — caisse mécano-soudée;;oui
09-GAB-D;09_LOCKING_SYSTEM;Gâche basse renforcée;S235JR galvanisé à chaud;1;Réception tringle basse;pièce découpée;Bloc 24 percé Ø16;;0.063;;A — caisse mécano-soudée;;oui
09-SER;09_LOCKING_SYSTEM;Boîtier de crémone-serrure;Acier zingué (achat);1;Serrure mécanique à cylindre, entraînement des tringles;acheté;Crémone 3 points à cylindre;;2.200;DOOR_R;;PROVISOIRE (référence);oui
09-POI;09_LOCKING_SYSTEM;Poignée palette extérieure cadenassable;Acier zingué (achat);1;Manœuvre de la crémone depuis l'extérieur;acheté;Poignée palette + rosace;;1.100;DOOR_R;;PROVISOIRE (référence);oui
09-CJ;09_LOCKING_SYSTEM;Couvre-joint anti-pince / anti-arrachement;S235JR galvanisé à chaud;1;Protège le battement contre l'effraction par levier;plat;Plat 65×3;1383;2.117;DOOR_R;B — vantail mécano-soudé droit;;oui
10-RG-MT1;10_RACK_LEFT;Montant de rack;S235JR galvanisé à chaud;1;Rack intérieur gauche — 3 niveaux;profilé;Tube carré 30×30×2;1494;2.627;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
10-RG-MT2;10_RACK_LEFT;Montant de rack;S235JR galvanisé à chaud;1;Rack intérieur gauche — 3 niveaux;profilé;Tube carré 30×30×2;1494;2.627;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
10-RG-MT3;10_RACK_LEFT;Montant de rack;S235JR galvanisé à chaud;1;Rack intérieur gauche — 3 niveaux;profilé;Tube carré 30×30×2;1494;2.627;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
10-RG-MT4;10_RACK_LEFT;Montant de rack;S235JR galvanisé à chaud;1;Rack intérieur gauche — 3 niveaux;profilé;Tube carré 30×30×2;1494;2.627;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
10-RG-N1-L1;10_RACK_LEFT;Longeron de tablette;S235JR galvanisé à chaud;1;Rack intérieur gauche — 3 niveaux;profilé;Tube carré 30×30×2;900;1.583;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
10-RG-N1-L2;10_RACK_LEFT;Longeron de tablette;S235JR galvanisé à chaud;1;Rack intérieur gauche — 3 niveaux;profilé;Tube carré 30×30×2;900;1.583;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
10-RG-N1-T1;10_RACK_LEFT;Traverse de tablette;S235JR galvanisé à chaud;1;Rack intérieur gauche — 3 niveaux;profilé;Tube carré 30×30×2;390;0.686;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
10-RG-N1-T2;10_RACK_LEFT;Traverse de tablette;S235JR galvanisé à chaud;1;Rack intérieur gauche — 3 niveaux;profilé;Tube carré 30×30×2;390;0.686;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
10-RG-N1-TB;10_RACK_LEFT;Tablette tôle;S235JR galvanisé à chaud;1;Rack intérieur gauche — 3 niveaux;tôle;Tôle ép. 2;;6.724;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
10-RG-N2-L1;10_RACK_LEFT;Longeron de tablette;S235JR galvanisé à chaud;1;Rack intérieur gauche — 3 niveaux;profilé;Tube carré 30×30×2;900;1.583;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
10-RG-N2-L2;10_RACK_LEFT;Longeron de tablette;S235JR galvanisé à chaud;1;Rack intérieur gauche — 3 niveaux;profilé;Tube carré 30×30×2;900;1.583;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
10-RG-N2-T1;10_RACK_LEFT;Traverse de tablette;S235JR galvanisé à chaud;1;Rack intérieur gauche — 3 niveaux;profilé;Tube carré 30×30×2;390;0.686;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
10-RG-N2-T2;10_RACK_LEFT;Traverse de tablette;S235JR galvanisé à chaud;1;Rack intérieur gauche — 3 niveaux;profilé;Tube carré 30×30×2;390;0.686;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
10-RG-N2-TB;10_RACK_LEFT;Tablette tôle;S235JR galvanisé à chaud;1;Rack intérieur gauche — 3 niveaux;tôle;Tôle ép. 2;;6.724;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
10-RG-N3-L1;10_RACK_LEFT;Longeron de tablette;S235JR galvanisé à chaud;1;Rack intérieur gauche — 3 niveaux;profilé;Tube carré 30×30×2;900;1.583;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
10-RG-N3-L2;10_RACK_LEFT;Longeron de tablette;S235JR galvanisé à chaud;1;Rack intérieur gauche — 3 niveaux;profilé;Tube carré 30×30×2;900;1.583;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
10-RG-N3-T1;10_RACK_LEFT;Traverse de tablette;S235JR galvanisé à chaud;1;Rack intérieur gauche — 3 niveaux;profilé;Tube carré 30×30×2;390;0.686;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
10-RG-N3-T2;10_RACK_LEFT;Traverse de tablette;S235JR galvanisé à chaud;1;Rack intérieur gauche — 3 niveaux;profilé;Tube carré 30×30×2;390;0.686;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
10-RG-N3-TB;10_RACK_LEFT;Tablette tôle;S235JR galvanisé à chaud;1;Rack intérieur gauche — 3 niveaux;tôle;Tôle ép. 2;;6.724;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
11-RD-MT1;11_RACK_RIGHT;Montant de rack;S235JR galvanisé à chaud;1;Rack intérieur droit — 3 niveaux;profilé;Tube carré 30×30×2;1494;2.627;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
11-RD-MT2;11_RACK_RIGHT;Montant de rack;S235JR galvanisé à chaud;1;Rack intérieur droit — 3 niveaux;profilé;Tube carré 30×30×2;1494;2.627;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
11-RD-MT3;11_RACK_RIGHT;Montant de rack;S235JR galvanisé à chaud;1;Rack intérieur droit — 3 niveaux;profilé;Tube carré 30×30×2;1494;2.627;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
11-RD-MT4;11_RACK_RIGHT;Montant de rack;S235JR galvanisé à chaud;1;Rack intérieur droit — 3 niveaux;profilé;Tube carré 30×30×2;1494;2.627;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
11-RD-N1-L1;11_RACK_RIGHT;Longeron de tablette;S235JR galvanisé à chaud;1;Rack intérieur droit — 3 niveaux;profilé;Tube carré 30×30×2;900;1.583;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
11-RD-N1-L2;11_RACK_RIGHT;Longeron de tablette;S235JR galvanisé à chaud;1;Rack intérieur droit — 3 niveaux;profilé;Tube carré 30×30×2;900;1.583;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
11-RD-N1-T1;11_RACK_RIGHT;Traverse de tablette;S235JR galvanisé à chaud;1;Rack intérieur droit — 3 niveaux;profilé;Tube carré 30×30×2;390;0.686;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
11-RD-N1-T2;11_RACK_RIGHT;Traverse de tablette;S235JR galvanisé à chaud;1;Rack intérieur droit — 3 niveaux;profilé;Tube carré 30×30×2;390;0.686;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
11-RD-N1-TB;11_RACK_RIGHT;Tablette tôle;S235JR galvanisé à chaud;1;Rack intérieur droit — 3 niveaux;tôle;Tôle ép. 2;;6.724;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
11-RD-N2-L1;11_RACK_RIGHT;Longeron de tablette;S235JR galvanisé à chaud;1;Rack intérieur droit — 3 niveaux;profilé;Tube carré 30×30×2;900;1.583;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
11-RD-N2-L2;11_RACK_RIGHT;Longeron de tablette;S235JR galvanisé à chaud;1;Rack intérieur droit — 3 niveaux;profilé;Tube carré 30×30×2;900;1.583;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
11-RD-N2-T1;11_RACK_RIGHT;Traverse de tablette;S235JR galvanisé à chaud;1;Rack intérieur droit — 3 niveaux;profilé;Tube carré 30×30×2;390;0.686;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
11-RD-N2-T2;11_RACK_RIGHT;Traverse de tablette;S235JR galvanisé à chaud;1;Rack intérieur droit — 3 niveaux;profilé;Tube carré 30×30×2;390;0.686;;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);oui
