Rep;Composant;Désignation;Section / référence;Longueur débit (mm);Matériau;Type;Qté;Masse unit. (kg);Masse totale (kg);Fonction;Sous-ensemble soudé;Statut;Corps
031;08_DOOR_HINGES;Charnière — nœud fixe + patte;Nœud Ø30 + patte 20;;S235JR galvanisé à chaud;pièce découpée;6;0.28;1.67;Articulation de vantail, partie dormante soudée au montant;A — caisse mécano-soudée;;08-CHG1-F 08-CHG2-F 08-CHG3-F 08-CHD1-F 08-CHD2-F 08-CHD3-F
032;08_DOOR_HINGES;Charnière — nœud mobile + penture;Nœud Ø30 + penture 6;;S235JR galvanisé à chaud;pièce découpée;6;0.56;3.36;Articulation de vantail, partie ouvrante soudée au vantail;B — vantail mécano-soudé gauche;;08-CHG1-M 08-CHG2-M 08-CHG3-M 08-CHD1-M 08-CHD2-M 08-CHD3-M
033;08_DOOR_HINGES;Axe de charnière Ø16;Ø16 × 118;118;Acier inox A2 (PROVISOIRE);quincaillerie;6;0.20;1.18;Axe d'articulation démontable;;PROVISOIRE (matière);08-AXG1 08-AXG2 08-AXG3 08-AXD1 08-AXD2 08-AXD3
034;08_DOOR_HINGES;Butée d'ouverture 90°;Plat 40 découpé;;S235JR galvanisé à chaud;pièce découpée;2;0.54;1.09;Butée mécanique positive à 90° (tampon élastomère à ajouter);A — caisse mécano-soudée;;08-BUTG 08-BUTD
035;07_FRONT_DOORS;Vantail D — Tôle de parement;Tôle ép. 2;;S235JR galvanisé à chaud;tôle;1;23.46;23.46;Vantail de porte avant (face 2200);B — vantail mécano-soudé droit;;07-VD-1
036;07_FRONT_DOORS;Vantail D — Montant côté charnières;Tube carré 40×40×3;1423;S235JR galvanisé à chaud;profilé;1;4.96;4.96;Vantail de porte avant (face 2200);B — vantail mécano-soudé droit;;07-VD-2
037;07_FRONT_DOORS;Vantail D — Montant côté battement;Tube carré 40×40×3;1423;S235JR galvanisé à chaud;profilé;1;4.96;4.96;Vantail de porte avant (face 2200);B — vantail mécano-soudé droit;;07-VD-3
038;07_FRONT_DOORS;Vantail D — Traverse basse;Tube carré 40×40×3;970;S235JR galvanisé à chaud;profilé;1;3.38;3.38;Vantail de porte avant (face 2200);B — vantail mécano-soudé droit;;07-VD-4
039;07_FRONT_DOORS;Vantail D — Traverse haute;Tube carré 40×40×3;970;S235JR galvanisé à chaud;profilé;1;3.38;3.38;Vantail de porte avant (face 2200);B — vantail mécano-soudé droit;;07-VD-5
040;07_FRONT_DOORS;Vantail D — Traverse intermédiaire;Tube carré 40×40×3;970;S235JR galvanisé à chaud;profilé;1;3.38;3.38;Vantail de porte avant (face 2200);B — vantail mécano-soudé droit;;07-VD-6
041;09_LOCKING_SYSTEM;Tringle haute Ø14;Rond Ø14;676;S235JR galvanisé à chaud;profilé;1;0.82;0.82;Verrouillage haut dans gâche;;;09-TRH-G
042;09_LOCKING_SYSTEM;Tringle basse Ø14;Rond Ø14;652;S235JR galvanisé à chaud;profilé;1;0.79;0.79;Verrouillage bas dans gâche;;;09-TRB-G
043;09_LOCKING_SYSTEM;Guide de tringle;Bloc 30×24 percé Ø15.5;;S235JR galvanisé à chaud;pièce découpée;8;0.08;0.67;Guidage de tringle;B — vantail mécano-soudé gauche;;09-GUI-G1 09-GUI-G2 09-GUI-G3 09-GUI-G4 09-GUI-D1 09-GUI-D2 09-GUI-D3 09-GUI-D4
044;09_LOCKING_SYSTEM;Gâche haute renforcée;Bloc 24 percé Ø16;;S235JR galvanisé à chaud;pièce découpée;2;0.09;0.18;Réception tringle haute;A — caisse mécano-soudée;;09-GAH-G 09-GAH-D
045;09_LOCKING_SYSTEM;Gâche basse renforcée;Bloc 24 percé Ø16;;S235JR galvanisé à chaud;pièce découpée;2;0.06;0.13;Réception tringle basse;A — caisse mécano-soudée;;09-GAB-G 09-GAB-D
046;09_LOCKING_SYSTEM;Tringle haute Ø14;Rond Ø14;598;S235JR galvanisé à chaud;profilé;1;0.72;0.72;Verrouillage haut dans gâche;;;09-TRH-D
047;09_LOCKING_SYSTEM;Tringle basse Ø14;Rond Ø14;670;S235JR galvanisé à chaud;profilé;1;0.81;0.81;Verrouillage bas dans gâche;;;09-TRB-D
048;09_LOCKING_SYSTEM;Boîtier de crémone-serrure;Crémone 3 points à cylindre;;Acier zingué (achat);acheté;1;2.20;2.20;Serrure mécanique à cylindre, entraînement des tringles;;PROVISOIRE (référence);09-SER
049;09_LOCKING_SYSTEM;Poignée palette extérieure cadenassable;Poignée palette + rosace;;Acier zingué (achat);acheté;1;1.10;1.10;Manœuvre de la crémone depuis l'extérieur;;PROVISOIRE (référence);09-POI
050;09_LOCKING_SYSTEM;Couvre-joint anti-pince / anti-arrachement;Plat 65×3;1383;S235JR galvanisé à chaud;plat;1;2.12;2.12;Protège le battement contre l'effraction par levier;B — vantail mécano-soudé droit;;09-CJ
051;10_RACK_LEFT;Montant de rack;Tube carré 30×30×2;1494;S235JR galvanisé à chaud;profilé;4;2.63;10.51;Rack intérieur gauche — 3 niveaux;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);10-RG-MT1 10-RG-MT2 10-RG-MT3 10-RG-MT4
052;10_RACK_LEFT;Longeron de tablette;Tube carré 30×30×2;900;S235JR galvanisé à chaud;profilé;6;1.58;9.50;Rack intérieur gauche — 3 niveaux;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);10-RG-N1-L1 10-RG-N1-L2 10-RG-N2-L1 10-RG-N2-L2 10-RG-N3-L1 10-RG-N3-L2
053;10_RACK_LEFT;Traverse de tablette;Tube carré 30×30×2;390;S235JR galvanisé à chaud;profilé;6;0.69;4.11;Rack intérieur gauche — 3 niveaux;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);10-RG-N1-T1 10-RG-N1-T2 10-RG-N2-T1 10-RG-N2-T2 10-RG-N3-T1 10-RG-N3-T2
054;10_RACK_LEFT;Tablette tôle;Tôle ép. 2;;S235JR galvanisé à chaud;tôle;3;6.72;20.17;Rack intérieur gauche — 3 niveaux;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);10-RG-N1-TB 10-RG-N2-TB 10-RG-N3-TB
055;11_RACK_RIGHT;Montant de rack;Tube carré 30×30×2;1494;S235JR galvanisé à chaud;profilé;4;2.63;10.51;Rack intérieur droit — 3 niveaux;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);11-RD-MT1 11-RD-MT2 11-RD-MT3 11-RD-MT4
056;11_RACK_RIGHT;Longeron de tablette;Tube carré 30×30×2;900;S235JR galvanisé à chaud;profilé;6;1.58;9.50;Rack intérieur droit — 3 niveaux;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);11-RD-N1-L1 11-RD-N1-L2 11-RD-N2-L1 11-RD-N2-L2 11-RD-N3-L1 11-RD-N3-L2
057;11_RACK_RIGHT;Traverse de tablette;Tube carré 30×30×2;390;S235JR galvanisé à chaud;profilé;6;0.69;4.11;Rack intérieur droit — 3 niveaux;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);11-RD-N1-T1 11-RD-N1-T2 11-RD-N2-T1 11-RD-N2-T2 11-RD-N3-T1 11-RD-N3-T2
058;11_RACK_RIGHT;Tablette tôle;Tôle ép. 2;;S235JR galvanisé à chaud;tôle;3;6.72;20.17;Rack intérieur droit — 3 niveaux;A — caisse mécano-soudée;PROVISOIRE (profondeur, cotes de niveaux);11-RD-N1-TB 11-RD-N2-TB 11-RD-N3-TB
059;13_WHEEL_SUPPORTS;Platine porte-roue;Tôle ép. 10;;S235JR galvanisé à chaud;plat;4;7.84;31.36;Support de roulette soudé sous longeron, traverse d'extrémité et traverse intermédiaire;A — caisse mécano-soudée;;13-PLA-AVG 13-PLA-AVD 13-PLA-ARG 13-PLA-ARD
060;13_WHEEL_SUPPORTS;Cale de roulette;Plat ép. 15;;S235JR galvanisé à chaud;plat;4;2.06;8.23;Rattrapage de hauteur roulette;A — caisse mécano-soudée;PROVISOIRE (dépend de la roulette retenue);13-CAL-AVG 13-CAL-AVD 13-CAL-ARG 13-CAL-ARD
061;12_WHEELS;Roulette pivotante Ø200 à frein total + blocage directionnel;Ø200×50 H245 CMU 500 kg;;Acier zingué / caoutchouc plein (achat);acheté;2;9.50;19.00;Roulage chantier, orientation, immobilisation;;PROVISOIRE (référence catalogue);12-ROU-AVG 12-ROU-AVD
062;24_FASTENERS_HARDWARE;Vis H M12×50 cl. 8.8 + écrou frein + rondelle;M12×50;;Acier cl. 8.8 zingué;quincaillerie;16;0.07;1.20;Fixation démontable de roulette;;;24-VIS-AVG1 24-VIS-AVG2 24-VIS-AVG3 24-VIS-AVG4 24-VIS-AVD1 24-VIS-AVD2 24-VIS-AVD3 24-VIS-AVD4 24-VIS-ARG1 24-VIS-ARG2 24-VIS-ARG3 24-VIS-ARG4 24-VIS-ARD1 24-VIS-ARD2 24-VIS-ARD3 24-VIS-ARD4
063;12_WHEELS;Roulette pivotante Ø200 à blocage directionnel;Ø200×50 H245 CMU 500 kg;;Acier zingué / caoutchouc plein (achat);acheté;2;9.50;19.00;Roulage chantier, orientation, marche en ligne;;PROVISOIRE (référence catalogue);12-ROU-ARG 12-ROU-ARD
064;14_HANDLING_BAR_LEFT;Barre de manutention;Tube rond Ø33.7×4.0;900;S235JR galvanisé à chaud;profilé;1;2.64;2.64;Pousser / tirer / orienter HURAVA à la main;A — caisse mécano-soudée;;14-BAR
065;14_HANDLING_BAR_LEFT;Support de barre;Plat 60×10;77;S235JR galvanisé à chaud;plat;2;0.33;0.66;Liaison barre / lisse latérale au travers du panneau;A — caisse mécano-soudée;;14-SUP1 14-SUP2
066;15_HANDLING_BAR_RIGHT;Barre de manutention;Tube rond Ø33.7×4.0;900;S235JR galvanisé à chaud;profilé;1;2.64;2.64;Pousser / tirer / orienter HURAVA à la main;A — caisse mécano-soudée;;15-BAR
067;15_HANDLING_BAR_RIGHT;Support de barre;Plat 60×10;77;S235JR galvanisé à chaud;plat;2;0.33;0.66;Liaison barre / lisse latérale au travers du panneau;A — caisse mécano-soudée;;15-SUP1 15-SUP2
068;16_FORK_POCKET_LEFT;Fourreau de fourches;Tube rect. 230×80×5;1100;S235JR galvanisé à chaud;profilé;1;25.90;25.90;Manutention par chariot élévateur, ouvert AV et AR;A — caisse mécano-soudée;PROVISOIRE (section, entraxe);16-FOU
069;16_FORK_POCKET_LEFT;Gousset fourreau / longeron;Gousset 100×100×5;;S235JR galvanisé à chaud;plat;4;0.20;0.78;Renfort d'encastrement du fourreau;A — caisse mécano-soudée;;16-GOU-AVG 16-GOU-AVD 16-GOU-ARG 16-GOU-ARD
070;17_FORK_POCKET_RIGHT;Fourreau de fourches;Tube rect. 230×80×5;1100;S235JR galvanisé à chaud;profilé;1;25.90;25.90;Manutention par chariot élévateur, ouvert AV et AR;A — caisse mécano-soudée;PROVISOIRE (section, entraxe);17-FOU
071;17_FORK_POCKET_RIGHT;Gousset fourreau / longeron;Gousset 100×100×5;;S235JR galvanisé à chaud;plat;4;0.20;0.78;Renfort d'encastrement du fourreau;A — caisse mécano-soudée;;17-GOU-AVG 17-GOU-AVD 17-GOU-ARG 17-GOU-ARD
072;18_LIFTING_POINT_FL;Platine d'oreille de levage;Plat 80×80×12;;S235JR galvanisé à chaud;plat;1;0.60;0.60;Répartition de l'effort de levage sur le nœud cadre haut / montant;A — caisse mécano-soudée;;18-PLT
073;18_LIFTING_POINT_FL;Oreille de levage;Tôle ép. 15 oxycoupée;;S235JR galvanisé à chaud;pièce découpée;1;0.48;0.48;Point d'élingage (manille);A — caisse mécano-soudée;PROVISOIRE (CMU à calculer);18-ORE
074;19_LIFTING_POINT_FR;Platine d'oreille de levage;Plat 80×80×12;;S235JR galvanisé à chaud;plat;1;0.60;0.60;Répartition de l'effort de levage sur le nœud cadre haut / montant;A — caisse mécano-soudée;;19-PLT
075;19_LIFTING_POINT_FR;Oreille de levage;Tôle ép. 15 oxycoupée;;S235JR galvanisé à chaud;pièce découpée;1;0.48;0.48;Point d'élingage (manille);A — caisse mécano-soudée;PROVISOIRE (CMU à calculer);19-ORE
076;20_LIFTING_POINT_RL;Platine d'oreille de levage;Plat 80×80×12;;S235JR galvanisé à chaud;plat;1;0.60;0.60;Répartition de l'effort de levage sur le nœud cadre haut / montant;A — caisse mécano-soudée;;20-PLT
077;20_LIFTING_POINT_RL;Oreille de levage;Tôle ép. 15 oxycoupée;;S235JR galvanisé à chaud;pièce découpée;1;0.48;0.48;Point d'élingage (manille);A — caisse mécano-soudée;PROVISOIRE (CMU à calculer);20-ORE
078;21_LIFTING_POINT_RR;Platine d'oreille de levage;Plat 80×80×12;;S235JR galvanisé à chaud;plat;1;0.60;0.60;Répartition de l'effort de levage sur le nœud cadre haut / montant;A — caisse mécano-soudée;;21-PLT
079;21_LIFTING_POINT_RR;Oreille de levage;Tôle ép. 15 oxycoupée;;S235JR galvanisé à chaud;pièce découpée;1;0.48;0.48;Point d'élingage (manille);A — caisse mécano-soudée;PROVISOIRE (CMU à calculer);21-ORE
080;22_HITCH_HOOK;Platine d'attelage;Plat 140×59×15;;S235JR galvanisé à chaud;plat;2;0.97;1.95;Liaison crochet / traverse d'extrémité gauche, dans l'axe du longeron d'attelage;A — caisse mécano-soudée;;22-PLT-G 22-PLT-D
081;22_HITCH_HOOK;Crochet d'attelage ouvert vers le haut (sans ressort);Tôle ép. 25 oxycoupée;;S235JR galvanisé à chaud;pièce découpée;2;1.38;2.77;Face latérale gauche : réception de l'anneau articulé de l'engin — retenue par gravité (bec de 55);A — caisse mécano-soudée;PROVISOIRE (nuance S355 ou pièce forgée à étudier, hauteur d'attelage);22-CRO-G 22-CRO-D
082;25_LOGO;Marquage HURAVA by ARCHIACCESS — face arrière;Film adhésif découpé;;Adhésif polymère 0,3;marquage;1;0.05;0.05;Identification produit;;;25-LOG-AR
083;25_LOGO;Marquage HURAVA — vantail gauche;Film adhésif découpé;;Adhésif polymère 0,3;marquage;1;0.02;0.02;Identification produit;;;25-LOG-AV
